Loan Amount: 50000.00
---------------------------------------------------------------------------
Interest Rate			Duration (years)			Monthly Payment			Total Payment
    10.00                20                  482.51            115802.40
    10.00                25                  454.35            136305.00
    10.00                30                  438.79            157964.40
    10.25                20                  490.82            117796.80
    10.25                25                  463.19            138957.00
    10.25                30                  448.05            161298.00
    10.50                20                  499.19            119805.60
    10.50                25                  472.09            141627.00
    10.50                30                  457.37            164653.20
    10.75                20                  507.61            121826.40
    10.75                25                  481.05            144315.00
    10.75                30                  466.74            168026.40
    11.00                20                  516.09            123861.60
    11.00                25                  490.06            147018.00
    11.00                30                  476.16            171417.60
